MSE: 0.11953454464673996	RMSE: 0.18984447419643402	PSNR: 28.411441802978516	SSIM: 0.9186786413192749	SAM: 0.13950887322425842
MSE: 0.14370176196098328	RMSE: 0.22426137328147888	PSNR: 26.964309692382812	SSIM: 0.9086307883262634	SAM: 0.1545182317495346
MSE: 0.19656291604042053	RMSE: 0.2755705416202545	PSNR: 25.17474365234375	    SSIM: 0.8815720677375793	SAM: 0.20151108503341675
MSE: 0.17680589854717255	RMSE: 0.24611619114875793	PSNR: 26.156597137451172	SSIM: 0.8988863229751587	SAM: 0.20653992891311646
MSE: 0.14172802865505219	RMSE: 0.20447507500648499	PSNR: 27.766592025756836	SSIM: 0.9360355138778687	SAM: 0.16676393151283264
MSE: 0.13618503510951996	RMSE: 0.21153613924980164	PSNR: 27.471710205078125	SSIM: 0.9352366328239441	SAM: 0.14461569488048553
MSE: 0.12151552736759186	RMSE: 0.20945702493190765	PSNR: 27.55750274658203	    SSIM: 0.9361602067947388	SAM: 0.12959179282188416
MSE: 0.10661964863538742	RMSE: 0.19336576759815216	PSNR: 28.251808166503906	SSIM: 0.9465327262878418	SAM: 0.11217083036899567
MSE: 0.1220548078417778	    RMSE: 0.19735784828662872	PSNR: 28.074312210083008	SSIM: 0.9278945922851562	SAM: 0.12582629919052124
MSE: 0.12830841541290283	RMSE: 0.18936026096343994	PSNR: 28.433624267578125	SSIM: 0.9233407974243164	SAM: 0.13982409238815308
MSE: 0.13581380248069763	RMSE: 0.2035839855670929	PSNR: 27.804527282714844	SSIM: 0.9048870801925659	SAM: 0.14963391423225403
MSE: 0.11380166560411453	RMSE: 0.18120180070400238	PSNR: 28.81614875793457	    SSIM: 0.9231812357902527	SAM: 0.12410439550876617
MSE: 0.08787568658590317	RMSE: 0.13538020849227905	PSNR: 31.348297119140625	SSIM: 0.9657034277915955	SAM: 0.09559479355812073
MSE: 0.11572030931711197	RMSE: 0.17694075405597687	PSNR: 29.022842407226562	SSIM: 0.9524523019790649	SAM: 0.10070356726646423
MSE: 0.12578366696834564	RMSE: 0.1930013746023178	PSNR: 28.268192291259766	SSIM: 0.9500349760055542	SAM: 0.0976153090596199
MSE: 0.1519976705312729	    RMSE: 0.22985613346099854	PSNR: 26.75027847290039	    SSIM: 0.9255340695381165	SAM: 0.1285528987646103
MSE: 0.16887730360031128	RMSE: 0.25023511052131653	PSNR: 26.012435913085938	SSIM: 0.9018567204475403	SAM: 0.1693921685218811
MSE: 0.15675708651542664	RMSE: 0.23550789058208466	PSNR: 26.539289474487305	SSIM: 0.9143155813217163	SAM: 0.1602640300989151
MSE: 0.14567287266254425	RMSE: 0.21697363257408142	PSNR: 27.25126075744629	    SSIM: 0.932912290096283	    SAM: 0.15156805515289307
MSE: 0.12089136242866516	RMSE: 0.1843470185995102	PSNR: 28.666677474975586	SSIM: 0.9433090090751648	SAM: 0.1306745707988739
MSE: 0.12205244600772858	RMSE: 0.1809225082397461	PSNR: 28.829547882080078	SSIM: 0.9234944581985474	SAM: 0.14555925130844116
MSE: 0.13354860246181488	RMSE: 0.19781096279621124	PSNR: 28.054393768310547	SSIM: 0.8967928290367126	SAM: 0.15925303101539612
MSE: 0.1430237889289856	    RMSE: 0.21889854967594147	PSNR: 27.174541473388672	SSIM: 0.8645669221878052	SAM: 0.1630038022994995
MSE: 0.14639617502689362	RMSE: 0.2216162234544754	PSNR: 27.067367553710938	SSIM: 0.8551844358444214	SAM: 0.17053917050361633
MSE: 0.13344016671180725	RMSE: 0.2049836367368698	PSNR: 27.74501609802246	    SSIM: 0.889422595500946	    SAM: 0.15637032687664032
MSE: 0.12861329317092896	RMSE: 0.20439401268959045	PSNR: 27.770034790039062	SSIM: 0.9050227403640747	SAM: 0.1434262990951538
MSE: 0.13725033402442932	RMSE: 0.21854403614997864	PSNR: 27.188621520996094	SSIM: 0.9059860110282898	SAM: 0.1358032524585724
MSE: 0.13523411750793457	RMSE: 0.21442832052707672	PSNR: 27.353755950927734	SSIM: 0.9183367490768433	SAM: 0.12410421669483185
MSE: 0.11385651677846909	RMSE: 0.18164725601673126	PSNR: 28.794822692871094	SSIM: 0.9283932447433472	SAM: 0.12651287019252777
MSE: 0.15559178590774536	RMSE: 0.23565548658370972	PSNR: 26.533849716186523	SSIM: 0.9027052521705627	SAM: 0.16196730732917786
