epoch[1](2000/6512): loss: 0.24094230	MAE: 0.132	PSNR: 27.573	SSIM: 0.801	SAM: 10.751
epoch[1](4000/6512): loss: 0.22066541	MAE: 0.114	PSNR: 30.639	SSIM: 0.966	SAM: 4.872
epoch[1](6000/6512): loss: 0.27718964	MAE: 0.160	PSNR: 27.593	SSIM: 0.921	SAM: 8.469
epoch[2](2000/6512): loss: 0.08591725	MAE: 0.072	PSNR: 33.449	SSIM: 0.932	SAM: 3.858
epoch[2](4000/6512): loss: 0.13520539	MAE: 0.151	PSNR: 27.348	SSIM: 0.842	SAM: 7.952
epoch[2](6000/6512): loss: 0.53238660	MAE: 0.267	PSNR: 24.570	SSIM: 0.968	SAM: 1.593
epoch[3](2000/6512): loss: 0.05598542	MAE: 0.063	PSNR: 34.875	SSIM: 0.985	SAM: 3.307
epoch[3](4000/6512): loss: 0.09329133	MAE: 0.049	PSNR: 37.696	SSIM: 0.994	SAM: 2.883
epoch[3](6000/6512): loss: 0.11793222	MAE: 0.210	PSNR: 24.418	SSIM: 0.889	SAM: 11.665
epoch[4](2000/6512): loss: 0.08528522	MAE: 0.090	PSNR: 31.921	SSIM: 0.974	SAM: 3.813
epoch[4](4000/6512): loss: 0.07093920	MAE: 0.043	PSNR: 38.126	SSIM: 0.994	SAM: 2.649
epoch[4](6000/6512): loss: 0.22147220	MAE: 0.111	PSNR: 30.079	SSIM: 0.940	SAM: 8.177
epoch[5](2000/6512): loss: 0.10175263	MAE: 0.099	PSNR: 31.545	SSIM: 0.946	SAM: 3.386
epoch[5](4000/6512): loss: 0.14831080	MAE: 0.099	PSNR: 30.150	SSIM: 0.870	SAM: 5.725
epoch[5](6000/6512): loss: 0.15313531	MAE: 0.226	PSNR: 22.716	SSIM: 0.787	SAM: 8.584
epoch[6](2000/6512): loss: 0.10256510	MAE: 0.106	PSNR: 29.306	SSIM: 0.860	SAM: 8.426
epoch[6](4000/6512): loss: 0.16432737	MAE: 0.082	PSNR: 33.522	SSIM: 0.943	SAM: 4.299
epoch[6](6000/6512): loss: 0.18079278	MAE: 0.108	PSNR: 30.370	SSIM: 0.925	SAM: 3.790
epoch[7](2000/6512): loss: 0.03644708	MAE: 0.120	PSNR: 27.212	SSIM: 0.796	SAM: 9.828
epoch[7](4000/6512): loss: 0.09867960	MAE: 0.124	PSNR: 28.121	SSIM: 0.921	SAM: 5.594
epoch[7](6000/6512): loss: 0.06081162	MAE: 0.060	PSNR: 33.329	SSIM: 0.981	SAM: 2.895
epoch[8](2000/6512): loss: 0.07962201	MAE: 0.091	PSNR: 31.134	SSIM: 0.918	SAM: 6.262
epoch[8](4000/6512): loss: 0.23416057	MAE: 0.147	PSNR: 27.976	SSIM: 0.879	SAM: 4.223
epoch[8](6000/6512): loss: 0.19617668	MAE: 0.130	PSNR: 27.411	SSIM: 0.942	SAM: 11.010
epoch[9](2000/6512): loss: 0.10177767	MAE: 0.084	PSNR: 32.021	SSIM: 0.908	SAM: 3.999
epoch[9](4000/6512): loss: 0.06138792	MAE: 0.072	PSNR: 32.673	SSIM: 0.947	SAM: 3.919
epoch[9](6000/6512): loss: 0.16207162	MAE: 0.094	PSNR: 29.564	SSIM: 0.911	SAM: 6.759
epoch[10](2000/6512): loss: 0.05990054	MAE: 0.033	PSNR: 40.922	SSIM: 0.996	SAM: 1.788
epoch[10](4000/6512): loss: 0.18980452	MAE: 0.097	PSNR: 31.707	SSIM: 0.957	SAM: 4.298
epoch[10](6000/6512): loss: 0.12575151	MAE: 0.064	PSNR: 34.673	SSIM: 0.971	SAM: 3.153
epoch[11](2000/6512): loss: 0.09776272	MAE: 0.060	PSNR: 31.359	SSIM: 0.814	SAM: 8.367
epoch[11](4000/6512): loss: 0.09251993	MAE: 0.110	PSNR: 30.305	SSIM: 0.941	SAM: 5.149
epoch[11](6000/6512): loss: 0.05608140	MAE: 0.088	PSNR: 30.543	SSIM: 0.925	SAM: 4.437
epoch[12](2000/6512): loss: 0.24255344	MAE: 0.121	PSNR: 30.198	SSIM: 0.965	SAM: 6.429
epoch[12](4000/6512): loss: 0.20949385	MAE: 0.121	PSNR: 27.383	SSIM: 0.877	SAM: 8.747
epoch[12](6000/6512): loss: 0.08723886	MAE: 0.088	PSNR: 29.840	SSIM: 0.836	SAM: 10.461
epoch[13](2000/6512): loss: 0.01054434	MAE: 0.015	PSNR: 48.374	SSIM: 0.921	SAM: 3.708
epoch[13](4000/6512): loss: 0.13615519	MAE: 0.071	PSNR: 33.520	SSIM: 0.962	SAM: 3.317
epoch[13](6000/6512): loss: 0.11845924	MAE: 0.125	PSNR: 28.170	SSIM: 0.820	SAM: 9.585
epoch[14](2000/6512): loss: 0.07817731	MAE: 0.120	PSNR: 28.088	SSIM: 0.869	SAM: 7.020
epoch[14](4000/6512): loss: 0.30458730	MAE: 0.168	PSNR: 25.460	SSIM: 0.778	SAM: 10.188
epoch[14](6000/6512): loss: 0.26014102	MAE: 0.130	PSNR: 28.779	SSIM: 0.977	SAM: 2.004
epoch[15](2000/6512): loss: 0.07809503	MAE: 0.057	PSNR: 36.261	SSIM: 0.980	SAM: 3.002
epoch[15](4000/6512): loss: 0.07853504	MAE: 0.084	PSNR: 31.049	SSIM: 0.904	SAM: 5.495
epoch[15](6000/6512): loss: 0.11656111	MAE: 0.058	PSNR: 36.030	SSIM: 0.959	SAM: 4.098
epoch[16](2000/6512): loss: 0.07699396	MAE: 0.187	PSNR: 23.877	SSIM: 0.869	SAM: 6.867
epoch[16](4000/6512): loss: 0.22135404	MAE: 0.174	PSNR: 27.148	SSIM: 0.895	SAM: 3.939
epoch[16](6000/6512): loss: 0.05056642	MAE: 0.062	PSNR: 33.920	SSIM: 0.933	SAM: 5.169
epoch[17](2000/6512): loss: 0.08366836	MAE: 0.092	PSNR: 32.038	SSIM: 0.973	SAM: 3.476
epoch[17](4000/6512): loss: 0.08708414	MAE: 0.050	PSNR: 37.367	SSIM: 0.973	SAM: 2.535
epoch[17](6000/6512): loss: 0.03814825	MAE: 0.057	PSNR: 34.594	SSIM: 0.962	SAM: 4.014
epoch[18](2000/6512): loss: 0.30411184	MAE: 0.163	PSNR: 26.035	SSIM: 0.912	SAM: 8.694
epoch[18](4000/6512): loss: 0.12346601	MAE: 0.062	PSNR: 35.585	SSIM: 0.995	SAM: 1.155
epoch[18](6000/6512): loss: 0.21770903	MAE: 0.236	PSNR: 24.419	SSIM: 0.963	SAM: 1.648
